tea_id,name,absolute_url
020904001,Danbury High School,/districts/danbury-isd/danbury-high-school/
020904041,Danbury Middle School,/districts/danbury-isd/danbury-middle-school/
105905041,Danforth Junior High School,/districts/wimberley-isd/danforth-junior-high-school/
031901144,Daniel Breeden El,/districts/brownsville-isd/daniel-breeden-el/
108909116,Daniel Ramirez Elementary School,/districts/pharr-san-juan-alamo-isd/daniel-ramirez-elementary-school/
108902116,Daniel Singleterry Sr Elementary School,/districts/donna-isd/daniel-singleterry-sr-elementary-school/
057905225,Daniel Webster Elementary School,/districts/dallas-isd/daniel-webster-elementary-school/
057910104,Daniels Elementary School,/districts/grand-prairie-isd/daniels-elementary-school/
133903101,Daniels Elementary School,/districts/kerrville-isd/daniels-elementary-school/
101907145,Danish Elementary School,/districts/cypress-fairbanks-isd/danish-elementary-school/
220908044,Danny Jones Middle School,/districts/mansfield-isd/danny-jones-middle-school/
148905101,Darrouzett Schools,/districts/darrouzett-isd/darrouzett-schools/
057916127,Dartmouth Elementary School,/districts/richardson-isd/dartmouth-elementary-school/
084910127,Darwin L Gilmore Elementary School,/districts/clear-creek-isd/darwin-l-gilmore-elementary-school/
057909108,Daugherty Elementary School,/districts/garland-isd/daugherty-elementary-school/
043901116,David And Lynda Olson Elementary School,/districts/allen-isd/david-and-lynda-olson-elementary-school/
015907162,David Barkley/Francisco Ruiz Academy,/districts/san-antonio-isd/david-barkleyfrancisco-ruiz-academy/
015907118,David Crockett Elementary School,/districts/san-antonio-isd/david-crockett-elementary-school/
079907053,David Crockett Middle School,/districts/fort-bend-isd/david-crockett-middle-school/
220902102,David E Smith Elementary School,/districts/birdville-isd/david-e-smith-elementary-school/
170902118,David Elementary School,/districts/conroe-isd/david-elementary-school/
057905116,David G Burnet Elementary School,/districts/dallas-isd/david-g-burnet-elementary-school/
031905106,David G Sanchez Elementary School,/districts/la-feria-isd/david-g-sanchez-elementary-school/
220905186,David K Sellars Elementary School,/districts/fort-worth-isd/david-k-sellars-elementary-school/
220912113,David L Walker Intermediate School,/districts/crowley-isd/david-l-walker-intermediate-school/
070903106,David S Crockett Early Childhood Center,/districts/ennis-isd/david-s-crockett-early-childhood-center/
057905023,David W Carter High School,/districts/dallas-isd/david-w-carter-high-school/
108903042,David Ybarra Middle School,/districts/edcouch-elsa-isd/david-ybarra-middle-school/
101912297,Davila Elementary School,/districts/houston-isd/davila-elementary-school/
071801003,Davinci School For Science And The Arts,/districts/burnham-wood-charter-school-district/davinci-school-for-science-and-the-arts/
043910111,Davis Elementary School,/districts/plano-isd/davis-elementary-school/
227901179,Davis Elementary School,/districts/austin-isd/davis-elementary-school/
057909126,Davis Elementary School,/districts/garland-isd/davis-elementary-school/
057903113,Davis Elementary School,/districts/carrollton-farmers-branch-isd/davis-elementary-school/
199902102,Davis Elementary School,/districts/royse-city-isd/davis-elementary-school/
057912121,Davis Elementary School,/districts/irving-isd/davis-elementary-school/
101912003,Davis High School,/districts/houston-isd/davis-high-school/
101902012,Davis High School Aldine,/districts/aldine-isd/davis-high-school-aldine/
043914044,Davis Intermediate School,/districts/wylie-isd-collin/davis-intermediate-school/
015907043,Davis Middle School,/districts/san-antonio-isd/davis-middle-school/
101902082,Davis Ninth Grade,/districts/aldine-isd/davis-ninth-grade/
178904154,Dawson Elementary School,/districts/corpus-christi-isd/dawson-elementary-school/
175904101,Dawson Elementary School,/districts/dawson-isd-navarro/dawson-elementary-school/
227901114,Dawson Elementary School,/districts/austin-isd/dawson-elementary-school/
175904001,Dawson High School,/districts/dawson-isd-navarro/dawson-high-school/
058902001,Dawson School,/districts/dawson-isd-dawson/dawson-school/
226903109,Day Head Start,/districts/san-angelo-isd/day-head-start/
221901208,Day Nursery Of Abilene,/districts/abilene-isd/day-nursery-of-abilene/
146902002,Dayton High School,/districts/dayton-isd/dayton-high-school/
146902007,Dayton Night School Academy,/districts/dayton-isd/dayton-night-school-academy/
101912137,De Chaumes Elementary School,/districts/houston-isd/de-chaumes-elementary-school/
108904117,De La Vina Elementary School,/districts/edinburg-cisd/de-la-vina-elementary-school/
