"District Number",District,"Campus Number",Campus,"ESC Region",Region,County,"School Type","Grades Served","Alternate Education","Number of Students","% Economically Disadvantaged","% LEP Students","Overall Rating *","Overall Score","Student Achievement Rating *","Student Achievement Score","School Progress Rating *","School Progress Score","Academic Growth Rating *","Academic Growth Score","Relative Performance Rating *","Relative Performance Score","Closing the Gaps Rating *","Closing the Gaps Score","Support Label","Public Education Grant","Distinction Reading","Distinction Mathematics","Distinction Science","Distinction Soc Studies","Distinction Progress","Distinction Closing the Gap","Distinction Post-Sec Readiness","US Congress District","TX House District","TX Senate District"
031906,LOS FRESNOS CISD,031906102,VILLAREAL EL,01,REGION 01: EDINBURG,CAMERON,Elementary,PK - 05,No,390,81.8%,36.2%,A,91,A,90,A,91,C,74,A,91,A,92,,,Earned,Earned,Earned,,Not Earned,Earned,Earned,034,038,027
031906,LOS FRESNOS CISD,031906103,LAS YESCAS EL,01,REGION 01: EDINBURG,CAMERON,Elementary,PK - 05,No,390,84.4%,42.3%,B,84,B,80,B,88,D,67,B,88,C,73,,,Not Earned,Earned,Earned,,Not Earned,Not Earned,Not Earned,034,037,027
031906,LOS FRESNOS CISD,031906104,LOPEZ-RIGGINS EL,01,REGION 01: EDINBURG,CAMERON,Elementary,PK - 05,No,552,85.9%,18.8%,A,93,B,85,A,90,C,79,A,90,A,100,,,Not Earned,Earned,Earned,,Not Earned,Earned,Earned,034,037,027
031906,LOS FRESNOS CISD,031906105,RESACA MIDDLE,01,REGION 01: EDINBURG,CAMERON,Middle School,06 - 08,No,823,72.7%,13.5%,B,86,B,87,A,91,D,60,A,91,C,75,,,Earned,Earned,Earned,Earned,Not Earned,Earned,Earned,034,037,027
031906,LOS FRESNOS CISD,031906106,PALMER-LAAKSO EL,01,REGION 01: EDINBURG,CAMERON,Elementary,EE - 05,No,554,78.2%,24.7%,B,89,B,89,A,91,A,91,A,91,B,85,,,Earned,Earned,Earned,,Earned,Not Earned,Earned,034,038,027
031906,LOS FRESNOS CISD,031906107,LAURELES EL,01,REGION 01: EDINBURG,CAMERON,Elementary,EE - 05,No,619,85.8%,34.1%,A,94,A,90,A,91,B,82,A,91,A,100,,,Not Earned,Earned,Earned,,Not Earned,Earned,Earned,034,038,027
031906,LOS FRESNOS CISD,031906108,OLMITO EL,01,REGION 01: EDINBURG,CAMERON,Elementary,EE - 05,No,643,70.9%,35.6%,A,93,A,93,A,93,B,83,A,93,A,92,,,Earned,Earned,Earned,,Earned,Earned,Earned,034,038,027
031906,LOS FRESNOS CISD,031906109,RANCHO VERDE EL,01,REGION 01: EDINBURG,CAMERON,Elementary,PK - 05,No,694,60.5%,24.9%,A,95,A,93,A,93,A,91,A,93,A,100,,,Earned,Earned,Earned,,Earned,Earned,Earned,034,038,027
031906,LOS FRESNOS CISD,031906110,DORA ROMERO EL,01,REGION 01: EDINBURG,CAMERON,Elementary,PK - 05,No,530,82.3%,26.0%,A,94,A,91,A,92,B,83,A,92,A,100,,,Earned,Earned,Earned,,Earned,Earned,Earned,034,037,027
031909,POINT ISABEL ISD,,,01,REGION 01: EDINBURG,CAMERON,District,,No,"2,349",86.2%,37.5%,B,89,B,87,A,93,C,73,A,93,C,79,,,,,,,,,Not Earned,,,
031909,POINT ISABEL ISD,031909001,PORT ISABEL H S,01,REGION 01: EDINBURG,CAMERON,High School,09 - 12,No,700,80.7%,18.1%,B,84,B,85,B,89,F,55,B,89,C,73,Additional Targeted Support 2018 and 2019,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Earned,034,037,027
031909,POINT ISABEL ISD,031909003,CAMERON CO J J A E P,01,REGION 01: EDINBURG,CAMERON,High School,09 - 09,No,2,50.0%,0.0%,N/R,.,N/R,.,N/R,.,N/R,.,N/R,.,N/R,.,,,,,,,,,,034,037,027
031909,POINT ISABEL ISD,031909041,PORT ISABEL J H,01,REGION 01: EDINBURG,CAMERON,Middle School,06 - 08,No,483,89.4%,38.3%,B,81,C,74,B,85,D,69,B,85,C,73,Targeted Support,,Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,034,037,027
031909,POINT ISABEL ISD,031909101,DERRY EL,01,REGION 01: EDINBURG,CAMERON,Elementary,PK - 05,No,611,86.1%,48.9%,A,90,C,79,B,88,B,85,B,88,A,96,,,Earned,Not Earned,Not Earned,,Earned,Earned,Earned,034,037,027
031909,POINT ISABEL ISD,031909102,GARRIGA EL,01,REGION 01: EDINBURG,CAMERON,Elementary,EE - 05,No,553,90.4%,49.0%,B,84,C,72,B,86,B,86,B,81,C,78,Targeted Support,,Not Earned,Not Earned,Not Earned,,Earned,Not Earned,Not Earned,034,037,027
031911,RIO HONDO ISD,,,01,REGION 01: EDINBURG,CAMERON,District,,No,"1,904",86.9%,11.3%,B,87,B,86,A,92,C,76,A,92,C,74,,,,,,,,,Not Earned,,,
031911,RIO HONDO ISD,031911001,RIO HONDO H S,01,REGION 01: EDINBURG,CAMERON,High School,09 - 12,No,581,81.8%,5.3%,B,85,B,85,B,89,B,83,B,89,C,77,,,Not Earned,Not Earned,Not Earned,Earned,Not Earned,Not Earned,Not Earned,034,038,027
031911,RIO HONDO ISD,031911002,CAMERON CO J J A E P,01,REGION 01: EDINBURG,CAMERON,Middle School,08 - 08,No,1,100.0%,0.0%,N/R,.,N/R,.,N/R,.,N/R,.,N/R,.,N/R,.,,,,,,,,,,034,038,027
031911,RIO HONDO ISD,031911041,RIO HONDO MIDDLE,01,REGION 01: EDINBURG,CAMERON,Middle School,05 - 08,No,544,90.4%,9.2%,B,81,C,75,B,86,C,70,B,86,C,70,Targeted Support,,Not Earned,Not Earned,Earned,Not Earned,Not Earned,Not Earned,Not Earned,034,038,027
031911,RIO HONDO ISD,031911102,RIO HONDO EL,01,REGION 01: EDINBURG,CAMERON,Elementary,EE - 02,No,523,87.4%,20.1%,C,76,N/R,.,N/R,.,N/R,.,N/R,.,N/R,.,,,,,,,,,,034,037,027
031911,RIO HONDO ISD,031911103,RIO HONDO INT,01,REGION 01: EDINBURG,CAMERON,Elementary,03 - 04,No,255,89.8%,11.8%,C,76,C,70,C,77,C,72,C,77,C,74,Targeted Support,,Not Earned,Not Earned,,,Not Earned,Earned,Not Earned,034,037,027
031912,SAN BENITO CISD,,,01,REGION 01: EDINBURG,CAMERON,District,,No,"10,513",88.5%,22.0%,B,85,B,82,B,89,C,70,A,91,C,77,,,,,,,,,Not Earned,,,
031912,SAN BENITO CISD,031912001,SAN BENITO H S,01,REGION 01: EDINBURG,CAMERON,High School,10 - 12,No,"2,132",85.0%,11.0%,B,82,B,82,B,87,F,59,B,87,C,70,Targeted Support,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Earned,034,038,027
031912,SAN BENITO CISD,031912003,CAMERON CO J J A E P,01,REGION 01: EDINBURG,CAMERON,High School,09 - 11,No,6,100.0%,50.0%,N/R,.,N/R,.,N/R,.,N/R,.,N/R,.,N/R,.,,,,,,,,,,034,038,027
031912,SAN BENITO CISD,031912004,POSITIVE REDIRECTION CTR,01,REGION 01: EDINBURG,CAMERON,Elem/Secondary,06 - 10,No,3,100.0%,0.0%,N/R,.,N/R,.,N/R,.,N/R,.,N/R,.,N/R,.,,,,,,,,,,034,038,027
031912,SAN BENITO CISD,031912005,AMADOR R RODRIGUEZ JUVENILE BOOT C,01,REGION 01: EDINBURG,CAMERON,High School,07 - 11,Yes,32,100.0%,18.8%,N/R,.,N/R,.,N/R,.,N/R,.,N/R,.,N/R,.,,,,,,,,,,034,038,027
031912,SAN BENITO CISD,031912007,SAN BENITO VETERANS MEMORIAL ACADE,01,REGION 01: EDINBURG,CAMERON,High School,09 - 09,No,783,86.3%,16.9%,B,86,C,78,B,87,B,84,B,87,B,82,,,Not Earned,Not Earned,Not Earned,Not Earned,Earned,Earned,Not Earned,034,038,027
031912,SAN BENITO CISD,031912008,RGV YOUTH RECOVERY HOME,01,REGION 01: EDINBURG,CAMERON,High School,08 - 10,Yes,14,100.0%,35.7%,N/R,.,N/R,.,N/R,.,N/R,.,N/R,.,N/R,.,,,,,,,,,,034,038,027
031912,SAN BENITO CISD,031912009,GATEWAY TO GRADUATION ACADEMY,01,REGION 01: EDINBURG,CAMERON,High School,09 - 12,Yes,82,97.6%,15.9%,D,61,C,70,N/R,.,N/R,.,N/R,.,F,30,Comprehensive Reidentified,,,,,,,,,034,038,027
031912,SAN BENITO CISD,031912041,BERTA CABAZA MIDDLE,01,REGION 01: EDINBURG,CAMERON,Middle School,06 - 08,No,856,83.3%,12.6%,C,78,C,75,B,85,D,60,B,85,D,63,Targeted Support,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,034,038,027
031912,SAN BENITO CISD,031912042,MILLER JORDAN MIDDLE,01,REGION 01: EDINBURG,CAMERON,Middle School,06 - 08,No,849,90.7%,22.3%,D,63,D,65,C,77,F,58,C,77,F,30,Comprehensive Identified,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,034,038,027
031912,SAN BENITO CISD,031912043,SAN BENITO RIVERSIDE MIDDLE,01,REGION 01: EDINBURG,CAMERON,Middle School,06 - 08,No,603,91.7%,23.5%,C,79,C,72,B,83,D,69,B,83,C,70,Targeted Support,,Earned,Not Earned,Earned,Not Earned,Not Earned,Not Earned,Not Earned,034,038,027
031912,SAN BENITO CISD,031912101,FRED BOOTH,01,REGION 01: EDINBURG,CAMERON,Elementary,PK - 05,No,553,91.7%,27.5%,C,78,C,70,C,79,C,79,C,77,C,74,Additional Targeted Support 2018 and 2019,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,034,038,027
031912,SAN BENITO CISD,031912103,CASH EL,01,REGION 01: EDINBURG,CAMERON,Elementary,EE - 05,No,754,89.1%,17.9%,A,94,A,91,A,92,B,83,A,92,A,100,,,Not Earned,Earned,Earned,,Not Earned,Earned,Earned,034,038,027
031912,SAN BENITO CISD,031912104,DOWNS EL,01,REGION 01: EDINBURG,CAMERON,Elementary,EE - 05,No,376,78.5%,6.9%,A,93,B,85,A,90,A,90,A,90,A,100,,,Earned,Earned,Earned,,Earned,Earned,Earned,034,038,027
031912,SAN BENITO CISD,031912108,RANGERVILLE EL,01,REGION 01: EDINBURG,CAMERON,Elementary,PK - 05,No,369,88.9%,28.2%,B,80,C,76,B,85,F,56,B,85,D,67,,,Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,034,038,027
031912,SAN BENITO CISD,031912109,ROBERTS EL,01,REGION 01: EDINBURG,CAMERON,Elementary,PK - 05,No,391,96.9%,32.7%,F,50,F,51,F,53,F,52,F,53,F,43,Targeted Support,Yes,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,034,038,027
031912,SAN BENITO CISD,031912110,SULLIVAN EL,01,REGION 01: EDINBURG,CAMERON,Elementary,PK - 05,No,398,90.7%,17.6%,B,88,C,75,A,92,A,92,B,84,C,78,,,Earned,Not Earned,Not Earned,,Earned,Earned,Earned,034,038,027
031912,SAN BENITO CISD,031912112,LA ENCANTADA EL,01,REGION 01: EDINBURG,CAMERON,Elementary,EE - 05,No,424,95.8%,40.8%,B,88,C,78,B,88,B,86,B,88,B,88,,,Not Earned,Earned,Earned,,Earned,Earned,Earned,034,038,027
031912,SAN BENITO CISD,031912114,LA PALOMA EL,01,REGION 01: EDINBURG,CAMERON,Elementary,EE - 05,No,504,93.1%,49.2%,B,85,C,77,B,87,B,85,B,87,C,79,,,Not Earned,Not Earned,Not Earned,,Earned,Earned,Earned,034,038,027
031912,SAN BENITO CISD,031912115,RAUL GARZA JR EL,01,REGION 01: EDINBURG,CAMERON,Elementary,EE - 05,No,589,83.2%,20.4%,A,93,B,86,A,90,B,80,A,90,A,100,,,Earned,Earned,Earned,,Earned,Earned,Earned,034,038,027
031912,SAN BENITO CISD,031912116,JUDGE OSCAR DE LA FUENTE EL,01,REGION 01: EDINBURG,CAMERON,Elementary,PK - 05,No,315,89.5%,20.0%,B,85,C,78,B,87,B,83,B,87,C,79,,,Not Earned,Earned,Earned,,Earned,Earned,Earned,034,038,027
031912,SAN BENITO CISD,031912117,ANGELA GERUSA LEAL EL,01,REGION 01: EDINBURG,CAMERON,Elementary,PK - 05,No,436,94.7%,57.3%,C,71,D,65,C,73,C,70,C,73,D,65,Targeted Support,,Not Earned,Not Earned,Earned,,Not Earned,Not Earned,Not Earned,034,038,027
031912,SAN BENITO CISD,031912201,HESTER JUVENILE DETENT,01,REGION 01: EDINBURG,CAMERON,Elem/Secondary,05 - 11,Yes,44,100.0%,27.3%,N/R,.,N/R,.,N/R,.,N/R,.,N/R,.,N/R,.,,,,,,,,,,034,038,027
031913,SANTA MARIA ISD,,,01,REGION 01: EDINBURG,CAMERON,District,,No,635,98.3%,40.2%,B,84,B,80,B,89,F,55,B,89,C,73,,,,,,,,,Not Earned,,,
031913,SANTA MARIA ISD,031913001,SANTA MARIA H S,01,REGION 01: EDINBURG,CAMERON,High School,09 - 12,No,186,97.8%,20.4%,B,81,B,80,B,85,D,68,B,85,C,73,,,Not Earned,Not Earned,Earned,Earned,Not Earned,Not Earned,Not Earned,034,038,027
031913,SANTA MARIA ISD,031913007,SANTA MARIA ACADEMIC ACADEMY-OPTIO,01,REGION 01: EDINBURG,CAMERON,High School,07 - 12,Yes,25,100.0%,68.0%,B,88,D,67,B,88,B,88,N/R,.,N/R,.,Comprehensive Progress,,,,,,,,,034,038,027
031913,SANTA MARIA ISD,031913041,SANTA MARIA J H,01,REGION 01: EDINBURG,CAMERON,Middle School,07 - 08,No,77,100.0%,24.7%,D,67,F,59,C,70,D,60,C,70,D,61,Additional Targeted Support 2018 and 2019,,Not Earned,Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,034,038,027
031913,SANTA MARIA ISD,031913042,SANTA MARIA MIDDLE,01,REGION 01: EDINBURG,CAMERON,Middle School,05 - 06,No,75,97.3%,46.7%,C,78,C,71,B,82,F,53,B,82,D,67,Targeted Support,,Not Earned,Not Earned,,,Not Earned,Not Earned,Not Earned,034,038,027
031913,SANTA MARIA ISD,031913101,TONY GONZALEZ EL,01,REGION 01: EDINBURG,CAMERON,Elementary,PK - 04,No,272,98.2%,53.7%,F,59,F,59,D,66,F,47,D,66,F,54,Targeted Support,,Not Earned,Not Earned,,,Not Earned,Not Earned,Not Earned,034,038,027
031914,SANTA ROSA ISD,,,01,REGION 01: EDINBURG,CAMERON,District,,No,"1,102",88.4%,16.6%,B,86,B,85,A,91,B,80,A,91,C,75,,,,,,,,,Not Earned,,,
031914,SANTA ROSA ISD,031914001,SANTA ROSA H S,01,REGION 01: EDINBURG,CAMERON,High School,09 - 12,No,325,83.1%,5.2%,B,84,B,84,B,87,B,83,B,87,C,76,,,Not Earned,Earned,Earned,Earned,Not Earned,Not Earned,Earned,034,035,027
031914,SANTA ROSA ISD,031914002,SANTA ROSA DAEP,01,REGION 01: EDINBURG,CAMERON,Elem/Secondary,06 - 11,No,3,100.0%,0.0%,N/R,.,N/R,.,N/R,.,N/R,.,N/R,.,N/R,.,,,,,,,,,,034,035,027
031914,SANTA ROSA ISD,031914003,SANTA ROSA JJAEP,01,REGION 01: EDINBURG,CAMERON,High School,10 - 10,No,1,100.0%,100.0%,N/R,.,N/R,.,N/R,.,N/R,.,N/R,.,N/R,.,,,,,,,,,,034,038,027
031914,SANTA ROSA ISD,031914041,JO NELSON MIDDLE,01,REGION 01: EDINBURG,CAMERON,Middle School,06 - 08,No,240,91.3%,16.7%,B,80,C,70,B,81,C,77,B,81,C,78,Targeted Support,,Not Earned,Not Earned,Not Earned,Not Earned,Earned,Earned,Not Earned,034,035,027
031914,SANTA ROSA ISD,031914101,ELMA E BARRERA EL,01,REGION 01: EDINBURG,CAMERON,Elementary,EE - 05,No,533,90.2%,23.5%,B,82,C,76,B,85,C,72,B,85,C,74,,,Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,034,035,027
031916,SOUTH TEXAS ISD,,,01,REGION 01: EDINBURG,CAMERON,District,,No,"4,098",53.9%,4.1%,A,97,A,97,A,96,A,92,A,96,A,98,,,,,,,,,Earned,,,
031916,SOUTH TEXAS ISD,031916001,SOUTH TEXAS BUSINESS EDUCATION & T,01,REGION 01: EDINBURG,CAMERON,High School,09 - 12,No,598,60.4%,7.2%,A,94,A,96,A,94,B,84,A,94,B,88,,,Earned,Earned,Earned,Earned,Not Earned,Earned,Earned,015,040,020
031916,SOUTH TEXAS ISD,031916003,SOUTH TEXAS ACADEMY FOR MEDICAL PR,01,REGION 01: EDINBURG,CAMERON,High School,09 - 12,No,817,71.2%,1.2%,A,93,A,96,A,95,B,84,A,95,B,87,,,Earned,Earned,Earned,Earned,Not Earned,Earned,Earned,034,038,027
031916,SOUTH TEXAS ISD,031916004,SOUTH TEXAS H S FOR HEALTH PROFESS,01,REGION 01: EDINBURG,CAMERON,High School,09 - 12,No,791,54.5%,4.9%,A,94,A,97,A,95,B,85,A,95,B,87,,,Earned,Earned,Earned,Earned,Earned,Earned,Earned,015,039,027
031916,SOUTH TEXAS ISD,031916005,THE SCIENCE ACADEMY OF SOUTH TEXAS,01,REGION 01: EDINBURG,CAMERON,High School,09 - 12,No,774,40.6%,1.2%,A,94,A,97,A,95,B,89,A,95,B,88,,,Earned,Earned,Earned,Earned,Earned,Earned,Earned,015,039,027
031916,SOUTH TEXAS ISD,031916041,SOUTH TEXAS PREPARATORY ACADEMY,01,REGION 01: EDINBURG,CAMERON,Middle School,07 - 08,No,573,41.5%,4.5%,A,97,A,95,A,95,A,91,A,95,A,100,,,Earned,Earned,Not Earned,Earned,Earned,Earned,Earned,015,040,020
031916,SOUTH TEXAS ISD,031916042,RISING SCHOLARS ACADEMY OF SOUTH T,01,REGION 01: EDINBURG,CAMERON,Middle School,07 - 08,No,545,51.6%,7.2%,A,97,A,95,A,95,A,93,A,95,A,100,,,Earned,Earned,,Earned,Earned,Earned,Earned,034,038,027
032902,PITTSBURG ISD,,,08,REGION 08: MT PLEASANT,CAMP,District,,No,"2,350",78.0%,17.0%,A,96,A,94,A,93,B,87,A,93,A,100,,,,,,,,,Earned,,,
032902,PITTSBURG ISD,032902002,PITTSBURG H S,08,REGION 08: MT PLEASANT,CAMP,High School,09 - 12,No,664,74.1%,5.6%,A,92,A,94,A,92,B,89,A,92,B,88,,,Earned,Earned,Not Earned,Earned,Earned,Earned,Earned,004,005,001
032902,PITTSBURG ISD,032902041,PITTSBURG J H,08,REGION 08: MT PLEASANT,CAMP,Middle School,07 - 08,No,367,74.9%,10.4%,B,89,B,86,A,91,B,81,A,91,B,85,,,Earned,Earned,Earned,Earned,Not Earned,Earned,Earned,004,005,001
032902,PITTSBURG ISD,032902103,PITTSBURG EL,08,REGION 08: MT PLEASANT,CAMP,Elementary,02 - 04,No,498,81.5%,23.7%,B,85,B,82,B,89,C,79,B,89,C,77,,,Earned,Earned,,,Earned,Earned,Earned,004,005,001
032902,PITTSBURG ISD,032902104,PITTSBURG PRI,08,REGION 08: MT PLEASANT,CAMP,Elementary,EE - 01,No,438,80.4%,30.6%,B,85,N/R,.,N/R,.,N/R,.,N/R,.,N/R,.,,,,,,,,,,004,005,001
032902,PITTSBURG ISD,032902105,PITTSBURG INT,08,REGION 08: MT PLEASANT,CAMP,Middle School,05 - 06,No,383,80.7%,18.8%,A,93,A,92,A,94,B,80,A,94,A,92,,,Earned,Earned,Earned,,Earned,Earned,Earned,004,005,001
033901,GROOM ISD,,,16,REGION 16: AMARILLO,CARSON,District,,No,163,32.5%,1.2%,A,93,A,95,B,87,B,80,B,87,B,88,,,,,,,,,,,,
033901,GROOM ISD,033901001,GROOM SCHOOL,16,REGION 16: AMARILLO,CARSON,Elem/Secondary,PK - 12,No,163,32.5%,1.2%,A,93,A,95,B,87,B,80,B,87,B,88,,,Not Earned,Earned,Earned,Earned,Not Earned,Not Earned,Earned,013,087,031
033902,PANHANDLE ISD,,,16,REGION 16: AMARILLO,CARSON,District,,No,701,26.2%,0.6%,A,95,A,95,A,91,B,89,A,91,A,95,,,,,,,,,Not Earned,,,
033902,PANHANDLE ISD,033902001,PANHANDLE H S,16,REGION 16: AMARILLO,CARSON,High School,09 - 12,No,217,18.9%,0.0%,A,94,A,95,B,89,B,89,B,84,A,90,,,Not Earned,Not Earned,Not Earned,Not Earned,Earned,Not Earned,Not Earned,013,087,031
033902,PANHANDLE ISD,033902041,PANHANDLE J H,16,REGION 16: AMARILLO,CARSON,Middle School,06 - 08,No,157,24.2%,0.6%,B,88,A,90,C,77,C,77,C,77,B,82,,,Earned,Not Earned,Not Earned,Earned,Not Earned,Not Earned,Earned,013,087,031
033902,PANHANDLE ISD,033902101,PANHANDLE EL,16,REGION 16: AMARILLO,CARSON,Elementary,EE - 05,No,327,32.1%,0.9%,A,91,A,90,B,88,B,88,B,80,A,94,,,Not Earned,Earned,Earned,,Earned,Earned,Not Earned,013,087,031
033904,WHITE DEER ISD,,,16,REGION 16: AMARILLO,CARSON,District,,No,352,47.7%,1.4%,A,91,A,92,A,92,D,60,A,92,B,87,,,,,,,,,Not Earned,,,
033904,WHITE DEER ISD,033904001,WHITE DEER H S,16,REGION 16: AMARILLO,CARSON,High School,07 - 12,No,142,38.0%,0.0%,B,86,B,89,B,86,C,75,B,86,C,79,Additional Targeted Support 2018 and 2019,,Not Earned,Not Earned,Not Earned,Earned,Not Earned,Not Earned,Not Earned,013,087,031
033904,WHITE DEER ISD,033904102,WHITE DEER EL,16,REGION 16: AMARILLO,CARSON,Elementary,PK - 06,No,210,54.3%,2.4%,C,77,B,80,B,82,F,58,B,82,D,66,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,013,087,031
034901,ATLANTA ISD,,,08,REGION 08: MT PLEASANT,CASS,District,,No,"1,719",68.2%,2.6%,A,90,B,89,A,91,C,70,A,91,B,87,,,,,,,,,Not Earned,,,
034901,ATLANTA ISD,034901001,ATLANTA H S,08,REGION 08: MT PLEASANT,CASS,High School,09 - 12,No,480,57.5%,0.6%,B,83,B,86,B,86,D,66,B,86,C,77,,,Earned,Not Earned,Not Earned,Earned,Not Earned,Not Earned,Not Earned,004,009,001
034901,ATLANTA ISD,034901042,ATLANTA MIDDLE,08,REGION 08: MT PLEASANT,CASS,Middle School,06 - 08,No,364,64.8%,0.5%,B,81,C,79,B,85,D,60,B,85,C,71,Targeted Support,,Earned,Not Earned,Earned,Earned,Not Earned,Not Earned,Not Earned,004,009,001
034901,ATLANTA ISD,034901106,ATLANTA EL,08,REGION 08: MT PLEASANT,CASS,Elementary,03 - 05,No,345,70.1%,3.2%,A,91,B,88,A,90,C,79,A,90,A,92,,,Earned,Earned,Earned,,Earned,Earned,Earned,004,009,001
034901,ATLANTA ISD,034901107,ATLANTA PRI,08,REGION 08: MT PLEASANT,CASS,Elementary,EE - 02,No,530,78.9%,5.5%,A,91,N/R,.,N/R,.,N/R,.,N/R,.,N/R,.,,,,,,,,,,004,009,001
034902,AVINGER ISD,,,08,REGION 08: MT PLEASANT,CASS,District,,No,153,69.9%,2.0%,C,74,C,77,C,79,C,75,C,79,D,63,,,,,,,,,,,,
034902,AVINGER ISD,034902001,AVINGER SCHOOL,08,REGION 08: MT PLEASANT,CASS,Elem/Secondary,PK - 12,No,153,69.9%,2.0%,C,74,C,77,C,79,C,75,C,79,D,63,Additional Targeted Support 2018 and 2019,,Earned,Earned,Not Earned,Earned,Not Earned,Not Earned,Not Earned,004,009,001
034903,HUGHES SPRINGS ISD,,,08,REGION 08: MT PLEASANT,CASS,District,,No,"1,224",60.3%,3.6%,B,88,A,90,A,91,C,79,A,91,B,82,,,,,,,,,Not Earned,,,
034903,HUGHES SPRINGS ISD,034903001,HUGHES SPRINGS H S,08,REGION 08: MT PLEASANT,CASS,High School,09 - 12,No,325,52.3%,0.9%,A,93,A,94,A,90,B,85,A,90,B,89,,,Not Earned,Earned,Not Earned,Not Earned,Not Earned,Earned,Not Earned,004,009,001
034903,HUGHES SPRINGS ISD,034903041,HUGHES SPRINGS J H,08,REGION 08: MT PLEASANT,CASS,Middle School,06 - 08,No,279,56.6%,4.7%,C,78,C,78,B,80,C,70,B,80,C,73,Comprehensive Progress,,Not Earned,Not Earned,Not Earned,Earned,Not Earned,Not Earned,Not Earned,004,009,001
034903,HUGHES SPRINGS ISD,034903101,HUGHES SPRINGS EL,08,REGION 08: MT PLEASANT,CASS,Elementary,EE - 05,No,620,66.1%,4.5%,B,80,C,77,B,82,C,74,B,82,C,75,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,004,009,001
034905,LINDEN-KILDARE CISD,,,08,REGION 08: MT PLEASANT,CASS,District,,No,687,72.8%,3.9%,C,73,C,76,C,75,F,57,C,75,D,67,,,,,,,,,Not Earned,,,
034905,LINDEN-KILDARE CISD,034905002,LINDEN-KILDARE H S,08,REGION 08: MT PLEASANT,CASS,High School,09 - 12,No,207,62.3%,0.5%,B,80,B,80,B,82,B,82,B,80,C,74,,,Not Earned,Not Earned,Not Earned,Earned,Not Earned,Not Earned,Not Earned,004,009,001
034905,LINDEN-KILDARE CISD,034905041,MAE LUSTER STEPHENS J H,08,REGION 08: MT PLEASANT,CASS,Middle School,06 - 08,No,140,67.1%,4.3%,F,57,D,62,D,60,F,54,D,60,F,45,Targeted Support,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,004,009,001
034905,LINDEN-KILDARE CISD,034905102,LINDEN EL,08,REGION 08: MT PLEASANT,CASS,Elementary,PK - 05,No,340,81.5%,5.9%,C,74,C,72,B,80,F,59,B,80,D,60,Targeted Support,,Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,004,009,001
034906,MCLEOD ISD,,,08,REGION 08: MT PLEASANT,CASS,District,,No,387,46.0%,0.0%,A,90,B,88,B,89,A,90,B,88,A,91,,,,,,,,,Not Earned,,,
034906,MCLEOD ISD,034906001,MCLEOD H S,08,REGION 08: MT PLEASANT,CASS,High School,09 - 12,No,121,45.5%,0.0%,B,88,B,85,B,89,B,89,B,83,B,85,,,Not Earned,Not Earned,Not Earned,Not Earned,Earned,Not Earned,Not Earned,004,009,001
034906,MCLEOD ISD,034906041,MCLEOD MIDDLE,08,REGION 08: MT PLEASANT,CASS,Middle School,06 - 08,No,90,35.6%,0.0%,A,90,B,85,B,89,B,89,C,79,A,92,,,Earned,Not Earned,Not Earned,Not Earned,Earned,Earned,Earned,004,009,001
034906,MCLEOD ISD,034906101,MCLEOD EL,08,REGION 08: MT PLEASANT,CASS,Elementary,PK - 05,No,176,51.7%,0.0%,C,70,C,70,D,62,D,62,F,59,C,70,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,004,009,001
034907,QUEEN CITY ISD,,,08,REGION 08: MT PLEASANT,CASS,District,,No,"1,074",59.1%,0.1%,B,88,B,89,A,90,C,70,A,90,B,82,,,,,,,,,Not Earned,,,
034907,QUEEN CITY ISD,034907001,QUEEN CITY H S,08,REGION 08: MT PLEASANT,CASS,High School,09 - 12,No,340,55.9%,0.3%,B,85,B,88,B,85,C,76,B,85,C,79,,,Earned,Not Earned,Not Earned,Earned,Not Earned,Not Earned,Earned,004,009,001
034907,QUEEN CITY ISD,034907041,MORRIS UPCHURCH MIDDLE,08,REGION 08: MT PLEASANT,CASS,Middle School,05 - 08,No,320,52.5%,0.0%,C,77,C,78,C,79,C,72,C,79,C,73,Targeted Support,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,004,009,001
